id,longitude,latitude
301,-73.94183,40.72491
302,-73.98342,40.72454
303,-74.01195,40.7048
304,-73.936,40.8476
305,-73.99699,40.72356
306,-73.98087,40.7288
307,-73.9896,40.72385
308,-73.96526,40.75286
309,-73.99666,40.73496
310,-73.99882,40.72366
311,-73.9171,40.86983
312,-73.91151,40.89254
313,-73.98278,40.76909
314,-73.9752,40.6568
315,-73.97172,40.79319
316,-73.98089,40.77766
317,-73.99413,40.69134
318,-73.99922,40.74673
319,-73.98053,40.71478
320,-73.98893,40.63703
321,-73.98053,40.71478
322,-73.99409,40.72349
323,-74.0088,40.72077
324,-73.98153,40.77548
325,-73.9457,40.7608
326,-73.98367,40.76714
327,-73.98533,40.68768
328,-73.95245,40.77469
329,-74.1042,40.62887
330,-73.9736,40.74782
331,-73.96107,40.77026
332,-73.9874,40.68847
333,-73.97415,40.74435
334,-73.87172,40.83271
335,-73.9511,40.78136
336,-73.97975,40.79018
337,-73.99292,40.7252
338,-73.97223,40.74825
339,-73.95372,40.80651
340,-73.96464,40.80425
341,-73.98768,40.66589
342,-73.99069,40.68819
343,-73.92494,40.86803
344,-73.9815,40.64601
345,-73.99323,40.76094
346,-73.98535,40.77982
347,-74.00825,40.72005
348,-74.00544,40.73259
349,-73.99002,40.73045
350,-73.97924,40.77725
351,-73.95919,40.76344
352,-74.00512,40.74693
353,-73.94421,40.78765
354,-73.9695,40.79976
355,-73.99607,40.69423
356,-73.98017,40.67574
357,-73.97594,40.64721
358,-73.97402,40.64666
359,-73.97899,40.74958
360,-73.96669,40.75294
361,-73.97391,40.67726
362,-73.91775,40.87236
363,-73.92775,40.8615
364,-73.92877,40.85979
365,-74.00039,40.74033
366,-73.9977,40.68081
367,-73.94178,40.84782
368,-73.99483,40.73661
369,-74.00354,40.71683
370,-73.9927,40.6955
371,-73.98157,40.77411
372,-73.96569,40.75318
373,-73.98357,40.73557
374,-74.00493,40.73426
375,-73.95151,40.81235
376,-74.00317,40.73866
377,-73.96484,40.75636
378,-73.93435,40.85784
379,-73.94797,40.82766
380,-73.96678,40.67276
381,-73.99038,40.75861
382,-73.98705,40.77612
383,-74.00501,40.73832
384,-73.97295,40.65325
385,-74.00889,40.73736
386,-73.97812,40.73658
387,-73.97168,40.60624
388,-73.99989,40.72603
389,-73.95123,40.65843
390,-73.9698,40.78719
391,-73.97279,40.79327
392,-73.95608,40.77896
393,-74.12398,40.61056
394,-73.99436,40.69817
395,-73.95799,40.7777
396,-73.9703,40.7996
397,-73.95649,40.77247
398,-73.98289,40.66456
399,-73.99886,40.74555
400,-74.00344,40.72495
401,-73.98086,40.70253
402,-73.96942,40.69441
403,-73.96399,40.80794
404,-73.97661,40.7472
405,-73.96897,40.79856
406,-73.97995,40.64601
407,-73.9703,40.7996
408,-73.95878,40.78197
409,-73.91623,40.87079
410,-74.00206,40.73274
411,-73.97222,40.67866
412,-73.99621,40.74135
413,-73.97418,40.78358
414,-73.98797,40.71623
415,-73.89934,40.89644
416,-73.97754,40.78546
417,-73.95411,40.76895
418,-73.90537,40.90922
419,-73.99341,40.76363
420,-73.97892,40.79127
421,-73.97225,40.79711
422,-73.97899,40.74958
423,-73.9786,40.7865
424,-73.96423,40.80505
425,-73.96557,40.79365
426,-73.9862,40.73884
427,-73.93025,40.7007
428,-73.95511,40.78127
429,-73.97683,40.64046
430,-74.00069,40.72247
431,-73.9974,40.74371
432,-73.97794,40.78926
433,-73.96358,40.68398
434,-73.97232,40.78664
435,-73.98089,40.78703
436,-73.97817,40.78276
437,-73.97802,40.74889
438,-73.97196,40.63404
439,-73.97268,40.79533
440,-73.97257,40.79808
