caseid,weight,votereg,Q2,Q3a,Q3b,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10,Q12,Q18_1,Q18_2,Q18_3,Q18_6,Q21,Q22,tsmart_voter_score,tsmart_pid,tsmart_G2016_vote_type,tsmart_P2016_vote_type,tsmart_P2014_vote_type,tsmart_G2014_vote_type,tsmart_G2012_vote_type,tsmart_P2012_vote_type,tsmart_PP2012_vote_type,tsmart_match_status,tsmart_G2018,tsmart_G2018_vote_type,tsmart_P2018,tsmart_P2018_party,tsmart_P2018_vote_type,birthyr,gender,race,educ,marstat,employ,faminc_new,pid3,pid7,presvote16post,inputstate,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
1038471955,0.72428644392439,1,9,9,1,4,1,1,2,4,1,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,5,1,2,4,998,3,10,998,998,7,6,8,998,998,998,998,998,9,1,2,3,4,5,4,1,3,3,1,1,2,2,8,8,98,98,98,98,98,98,98,8, , , , , ,1946,2,1,3,3,5,15,1,1,1,45,2,1,5,6,2,3,6,11/22/2019 23:55:01,11/23/2019 12:48:58
1038355375,0.130523917608482,1,9,9,2,6,1,3,5,6,2,5,2,4,2,2,2,3,6,5,3,5,2,4,2,4,998,1,10,8,998,4,7,2,998,5,3,998,998,998,998,9,998,6,1,2,3,5,4,1,1,3,3,3,1,1,1,5,8,98,98,98,98,98,98,98,1, , , , , ,1961,1,1,5,1,2,16,3,4,1,45,3,1,11,5,2,2,2,11/23/2019 12:50:51,11/23/2019 13:04:40
1038476051,1.50385635108252,1,9,9,1,5,1,6,5,6,6,4,2,3,2,5,4,1,6,1,3,6,3,4,2,4,998,1,998,998,998,998,998,998,998,4,998,998,2,998,3,5,998,998,1,998,3,2,4,2,1,3,3,1,1,3,2,2,3,5,98,98,5,5,98,98,1, , , , , ,1986,2,2,5,1,1,7,1,2,1,45,3,2,1,2,1,2,1,11/23/2019 03:28:37,11/23/2019 13:09:54
1038494373,0.337965857845984,1,9,9,1,4,4,4,2,2,3,4,5,2,2,4,4,1,6,4,1,4,2,4,13,2,998,9,998,4,7,6,10,998,8,3,998,998,1,998,998,2,998,5,5,4,3,1,2,2,2,3,3,3,3,1,1,8,8,98,98,98,98,98,98,98,8, , , , , ,1983,1,1,6,1,1,16,3,3,4,45,1,1,10,5,2,3,7,11/23/2019 13:49:11,11/23/2019 13:55:43
1038326925,0.302408913474412,1,9,9,2,4,2,4,4,4,4,4,4,4,4,4,1,4,4,4,2,4,4,2,12,4,998,3,4,5,8,6,998,9,998,998,998,1,7,998,998,2,10,998,1,3,5,4,2,2,1,3,3,3,1,3,2,4,3,98,98,98,98,98,98,98,1, , , , , ,1952,2,1,3,1,5,97,5,8,2,45,6,2,2,4,2,2,3,11/23/2019 14:22:31,11/23/2019 14:32:35
1038765301,0.202877201466939,1,9,9,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,19,5,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,997,997,997,997,997,5,4,3,3,3,3,4,2,2,3,5,98,98,5,5,98,5,1,1,5, , , ,1953,2,1,3,3,1,11,2,7,2,45,5,1,11,6,2,3,6,11/23/2019 14:42:23,11/23/2019 14:47:00
1038654481,1.12560858059916,1,9,9,1,5,2,5,2,2,2,5,5,5,2,2,5,2,5,2,2,5,5,4,2,4,998,1,998,6,7,5,998,998,998,9,10,998,8,998,2,3,998,4,1,2,4,5,3,2,1,3,3,3,3,5,2,8,3,98,98,5,5,5,5,98,8, , , , , ,1947,1,2,4,1,5,4,1,1,1,45,6,1,1,3,1,1,3,11/23/2019 14:45:53,11/23/2019 14:55:06
1038715789,0.338022230804615,1,9,9,1,6,2,3,5,3,5,3,5,4,3,5,6,3,5,3,4,6,6,3,2,2,9,1,3,8,998,998,998,5,998,10,998,6,998,4,2,998,998,7,1,2,3,4,5,5,1,3,3,3,3,5,3,2,3,5,98,5,5,5,98,5,1,1,5, , , ,1953,2,1,3,4,5,2,3,4,5,45,3,3,2,2,1,1,1,11/23/2019 14:53:42,11/23/2019 14:58:40
1037574379,0.192870699997277,1,9,9,1,6,1,2,2,6,1,2,6,4,1,2,5,2,6,1,2,5,1,4,6,4,998,2,10,8,998,1,998,998,998,4,7,998,9,998,5,3,998,6,2,1,4,5,3,1,1,3,3,3,2,2,2,1,3,5,5,5,5,5,98,5,1,1,5,1,1,5,1957,2,1,6,1,1,9,1,1,1,45,3,1,2,4,2,2,1,11/23/2019 14:51:19,11/23/2019 15:03:22
1038776795,0.0652020441245091,1,9,9,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,4,2,3,998,1,7,8,998,9,10,998,998,998,998,2,5,998,4,6,998,3,1,4,5,3,2,2,1,3,3,8,3,1,3,1,3,5,5,5,5,5,98,98,1,1,5,1,1,5,1952,2,2,3,3,5,4,3,4,1,45,3,1,11,1,1,1,1,11/23/2019 15:15:16,11/23/2019 15:24:31
