id,longitude,latitude
368,-74.01997,40.6897
369,-73.97763,40.79107
370,-73.98655,40.77844
371,-73.99226,40.69671
372,-73.9993,40.7418
373,-73.98349,40.7393
374,-73.95862,40.77997
375,-73.9551,40.7783
376,-73.95648,40.78204
377,-73.9526,40.8034
378,-73.9677,40.80283
379,-73.9493,40.728
380,-73.95678,40.77605
381,-74.0156,40.6429
382,-73.97156,40.67799
383,-74.00218,40.74183
384,-74.03776,40.62073
385,-73.98304,40.77856
386,-73.9544,40.8121
387,-73.97542,40.72467
388,-73.93604,40.85349
389,-74.00722,40.71005
390,-73.9855,40.6664
391,-73.9803,40.7246
392,-73.9884,40.7155
393,-73.9524,40.7141
394,-73.9493,40.728
395,-73.9899,40.759
396,-73.96307,40.76652
397,-73.9895,40.7324
398,-73.9884,40.7155
399,-73.98386,40.78179
400,-73.97686,40.78965
401,-73.9895,40.7324
402,-73.98345,40.66503
403,-73.9496,40.7796
404,-74.0053,40.734
405,-73.96803,40.76078
406,-74.00306,40.71711
407,-73.9275,40.8584
408,-73.9895,40.7324
409,-73.95725,40.77364
410,-73.9962,40.76071
411,-73.9496,40.7796
412,-73.9703,40.7996
413,-73.9803,40.7246
414,-73.9825,40.7773
415,-73.97594,40.64721
416,-73.95659,40.73307
417,-73.9703,40.7564
418,-73.98344,40.64587
419,-74.0053,40.734
420,-74.01687,40.70993
421,-73.98153,40.77548
422,-73.96961,40.79566
423,-73.95775,40.72931
424,-73.9703,40.7564
425,-73.94594,40.82307
426,-73.94367,40.72241
427,-73.9755,40.65613
428,-73.96788,40.7583
429,-73.78794,40.85279
430,-73.9544,40.8121
431,-73.95299,40.77428
432,-73.96645,40.79322
433,-73.96707,40.76807
434,-73.9855,40.6664
435,-73.98147,40.66403
436,-73.96404,40.76646
437,-74.00583,40.73822
438,-73.97902,40.71358
439,-73.97734,40.79014
440,-73.95795,40.77426
441,-73.97859,40.76346
442,-73.95353,40.7154
443,-73.99912,40.73916
444,-73.95334,40.79105
445,-73.98569,40.73083
446,-73.94183,40.72491
447,-73.9874,40.7642
448,-73.98342,40.72454
449,-74.01195,40.7048
450,-73.9656,40.695
451,-73.9895,40.7324
452,-73.9825,40.7773
453,-73.936,40.8476
454,-73.99699,40.72356
455,-73.98087,40.7288
456,-73.9896,40.72385
457,-73.96526,40.75286
458,-73.99666,40.73496
459,-73.99882,40.72366
460,-73.9703,40.7996
461,-73.9171,40.86983
462,-73.91151,40.89254
463,-73.98278,40.76909
464,-73.9752,40.6568
465,-73.9993,40.7418
466,-73.9899,40.759
467,-73.97172,40.79319
468,-73.98089,40.77766
469,-73.99413,40.69134
470,-73.99922,40.74673
471,-73.98053,40.71478
472,-73.98893,40.63703
473,-73.98053,40.71478
474,-73.99409,40.72349
475,-74.0088,40.72077
476,-73.98153,40.77548
477,-73.9895,40.7324
478,-73.9703,40.7996
479,-73.9468,40.7903
